code1c,nomen,mdmcodenomen
"0000085968","Двутавр 20Ш1 (ГОСТ/СТО)","043-00033-0790"
"0000085969","Двутавр 25Ш1 (ГОСТ/СТО)","043-00014-0791"
"0000085970","Двутавр 30Ш1 (ГОСТ/СТО)","043-00029-0791"
"0000085971","Двутавр 35Ш1 (ГОСТ/СТО)","043-00017-0791"
"0000085972","Двутавр 20Ш1 (ГОСТ/СТО)","043-00033-0784"
"0000085973","Двутавр 30Б1 (ГОСТ/СТО)","043-00058-0784"
"0000085974","Двутавр 30К2 (ГОСТ/СТО)","043-00040-0784"
"0000085975","Двутавр 30Ш1 (ГОСТ/СТО)","043-00029-0784"
"0000085976","Двутавр 30Ш2 (ГОСТ/СТО)","043-00030-0784"
"0000085977","Двутавр 40Б1 (ГОСТ/СТО)","043-00031-0784"
"0000085978","Двутавр 40К1 (ГОСТ/СТО)","043-00027-0784"
"0000085979","Двутавр 40К2 (ГОСТ/СТО)","043-00028-0784"
"0000085980","Двутавр 45Б1 (ГОСТ/СТО)","043-00043-0784"
"0000085981","Двутавр 45Б2 (ГОСТ/СТО)","043-00037-0784"
"0000085982","Двутавр 70Б1 (ГОСТ/СТО)","043-00056-0784"
"0000085983","Двутавр 70Ш1 (ГОСТ/СТО)","043-00052-0784"
"0000085984","Двутавр 20Б1 (ГОСТ/СТО)","043-00007-0784"
"0000085985","Двутавр 35К2 (ГОСТ/СТО)","043-00024-0784"
"0000085986","Двутавр 40Б2 (ГОСТ/СТО)","043-00032-0784"
"0000085987","Двутавр 50Б1 (ГОСТ/СТО)","043-00036-0784"
"0000085988","Двутавр 30Б2 (ГОСТ/СТО)","043-00045-0784"
"0000085989","Двутавр 40К5 (ГОСТ/СТО)","043-00046-0784"
"0000085990","Двутавр 40Ш1 (ГОСТ/СТО)","043-00002-0784"
"0000085991","Двутавр 40Ш2 (ГОСТ/СТО)","043-00001-0784"
"0000085992","Двутавр 45Ш1 (ГОСТ/СТО)","043-00026-0784"
"0000085993","Двутавр 60Б2 (ГОСТ/СТО)","043-00048-0546"
"0000085994","Двутавр 50Б1 (ГОСТ/СТО)","043-00036-0546"
"0000085995","Двутавр 35Б2 (ГОСТ/СТО)","043-00013-0546"
"0000085996","Двутавр 30К1 (ГОСТ/СТО)","043-00034-0546"
"0000085997","Двутавр 50Б2 (ГОСТ/СТО)","043-00059-0546"
"0000085998","Двутавр 60Б1 (ГОСТ/СТО)","043-00051-0546"
"0000085999","Двутавр 18 (ГОСТ/СТО)","043-00069-0555"
"0000086000","Двутавр 25Б2 (ГОСТ/СТО)","043-00025-0555"
"0000086001","Двутавр 36М (ГОСТ/СТО)","043-00015-0546"
"0000086002","Двутавр 45М (ГОСТ/СТО)","043-00004-0546"
"0000086003","Двутавр 40Б1 (ГОСТ/СТО)","043-00031-0555"
"0000086004","Двутавр 25Б1 (ГОСТ/СТО)","043-00022-0550"
"0000086005","Двутавр 30К1 (ГОСТ/СТО)","043-00034-0555"
"0000086006","Двутавр 40Б2 (ГОСТ/СТО)","043-00032-0546"
"0000086007","Двутавр 60Ш2 (ГОСТ/СТО)","043-00054-0546"
"0000086008","Двутавр 50Ш3 (ГОСТ/СТО)","043-00038-0546"
"0000086009","Двутавр 25К1 (ГОСТ/СТО)","043-00047-0546"
"0000086010","Двутавр 30М (ГОСТ/СТО)","043-00041-0570"
"0000086011","Двутавр 20Б1 (ГОСТ/СТО)","043-00007-0779"
"0000086012","Двутавр 30Б1 (ГОСТ/СТО)","043-00058-0779"
"0000086013","Двутавр 20Б1 (ГОСТ/СТО)","043-00007-0792"
"0000086014","Двутавр 30М (ГОСТ/СТО)","043-00041-0793"
"0000086015","Двутавр 20Б1 (ГОСТ/СТО)","043-00007-0793"
"0000086016","Двутавр 30Б1 (ГОСТ/СТО)","043-00058-0793"
"0000086017","Двутавр 30Б1 (ГОСТ/СТО)","043-00058-0586"
"0000086018","Двутавр 35Б2 (ГОСТ/СТО)","043-00013-0793"
"0000086019","Двутавр 40К3 (ГОСТ/СТО)","043-00008-0793"
"0000086020","Двутавр 20Б1 (ГОСТ/СТО)","043-00007-0794"
