code1c,mdmcodenomen,nomen
ОА-ОА002500,043-00045-0784,"Двутавр 30Б2 СТО АСЧМ 20-93 С345-6 дл.12,0"
ОА-ОА002501,043-00026-0784,"Двутавр 45Ш1 СТО АСЧМ 20-93 С345-6 дл.12,0"
ОА-ОА002502,043-00034-0784,"Двутавр 30К1 СТО АСЧМ 20-93 С345-6 дл.12,0"
ОА-ОА002503,043-00018-0784,"Двутавр 35Ш2 СТО АСЧМ 20-93 С345-6 дл.12,0"
ОА-ОА002504,043-00037-0784,"Двутавр 45Б2 СТО АСЧМ 20-93 С345-6 дл.12,0"
ОА-ОА006456,043-00042-0784,"Двутавр 20К2 ГОСТ Р 57837 С345-6 дл.12,0"
ОА-ОА006457,043-00047-0784,"Двутавр 25К1 ГОСТ Р 57837 С345-6 дл.12,0"
ОА-ОА006458,043-00011-0784,"Двутавр 25К2 ГОСТ Р 57837 С345-6 дл.12,0"
ОА-ОА006459,043-00017-0784,"Двутавр 35Ш1 ГОСТ Р 57837 С345-6 дл.12,0"
ОА-ОА006460,043-00018-0784,"Двутавр 35Ш2 ГОСТ Р 57837 С345-6 дл.12,0"
ОА-ОА006461,043-00021-0784,"Двутавр 20К1 ГОСТ Р 57837 С345-6 дл.12,0"
ОА-ОА006530,043-00034-0784,"Двутавр 30К1 ГОСТ Р 57837 С345-6 дл.12,0"
ОА-ОА006532,043-00013-0784,"Двутавр 35Б2 ГОСТ Р 57837 С345-6 дл.12,0"
ОА-ОА006534,043-00035-0784,"Двутавр 35К1 ГОСТ Р 57837 С345-6 дл.12,0"
ОА-ОА006538,043-00059-0784,"Двутавр 50Б2 ГОСТ Р 57837 С345-6 дл.12,0"
ОА-ОА006540,043-00044-0784,"Двутавр 50Ш2 ГОСТ Р 57837 С345-6 дл.12,0"
ОА-ОА006541,043-00063-0784,"Двутавр 55Б1 ГОСТ Р 57837 С345-6 дл.12,0"
ОА-ОА006543,043-00020-0784,"Двутавр 60Ш1 ГОСТ Р 57837 С345-6 дл.12,0"
ОА-ОА006841,043-00014-0784,"Двутавр 25Ш1 ГОСТ Р 57837 С345-6 дл.12,0"
ОА-ОА006932,043-00039-0784,"Двутавр 60Ш3 ГОСТ Р 57837 С345-6 дл.12,0"
ОА-ОА006950,043-00040-0785,Двутавр 30К2 ГОСТ Р 57837 С345-6 н/д
ОА-ОА007075,043-00023-0784,"Двутавр 50Ш1 ГОСТ Р 57837 С345-6 дл.12,0"
ОА-ОА007077,043-00054-0784,"Двутавр 60Ш2 ГОСТ Р 57837 С345-6 дл.12,0"
ОА-ОА007081,043-00053-0784,"Двутавр 70Ш2 ГОСТ Р 57837 С345-6 дл.12,0"
ОА-ОА007083,043-00048-0784,"Двутавр 60Б2 ГОСТ Р 57837 С345-6 дл.12,0"
ОА-ОА007422,043-00009-0784,"Двутавр 35Б1 ГОСТ Р 57837 С345-6 дл.12,0"
ОА-ОА008293,043-00051-0784,"Двутавр 60Б1 ГОСТ Р 57837 С345-6 дл.12,0"
ОА-ОА008311,043-00031-0783,"Двутавр 40Б1 СТО АСЧМ 20-93 С345-2 дл.12,0"
ОА-ОА008312,043-00031-0575,"Двутавр 40Б1 ГОСТ Р 57837 С345-3 дл.12,0"
ОА-ОА008377,043-00064-0554,"Двутавр 14Б2 ГОСТ 26020 09Г2С дл.12,0 Импорт"
ОА-ОА008427,043-00064-0786,"Двутавр 14Б2 ГОСТ 26020 С345-6 дл.12,0 Импорт"
ОА-ОА008557,043-00034-0781,"Двутавр 30К1 ГОСТ Р 57837 С345-6 дл.12,0 ()"
ОА-ОА008651,043-00019-0784,"Двутавр 60Ш4 ГОСТ Р 57837 С345-6 дл.12,0"
ОА-ОА008666,043-00040-0787,"Двутавр 30К2 ГОСТ Р 57837 С390 дл.12,0"
ОА-ОА008667,043-00059-0787,"Двутавр 50Б2 ГОСТ Р 57837 С390 дл.12,0"
ОА-ОА008711,043-00055-0784,"Двутавр 55Б2 ГОСТ Р 57837 С345-6 дл.12,0"
ОА-ОА008947,043-00022-0784,"Двутавр 25Б1 ГОСТ Р 57837 С345-6 дл.12,0"
ОА-ОА009786,043-00025-0784,"Двутавр 25Б2 ГОСТ Р 57837 С345-6 дл.12,0"
ОА-ОА010184,043-00015-0780,"Двутавр 36М ГОСТ 19425 09Г2С-15 дл.12,0 Импорт"
ОА-ОА010251,043-00065-0575,"Двутавр 18Б1 ГОСТ Р 57837 С345-3 дл.12,0"
ОА-ОА010697,043-00030-0786,"Двутавр 30Ш2 ГОСТ Р 57837 С345-6 дл.12,0 Импорт"
ОА-ОА010699,043-00004-0780,"Двутавр 45М ГОСТ 19425 09Г2С-15 дл.12,0 Импорт"
ОА-ОА010705,043-00030-0783,"Двутавр 30Ш2 СТО АСЧМ 20-93 С345-2 дл.12,0"
ОА-ОА010755,043-00007-0575,"Двутавр 20Б1 ГОСТ Р 57837 С345-3 дл.12,0"
ОА-ОА011249,043-00066-0784,"Двутавр 30К4 ГОСТ Р 57837 С345-6 дл.12,0"
ОА-ОА013047,043-00060-0784,"Двутавр 50Б3 ГОСТ Р 57837 С345-6 дл.12,0"
ОА-ОА013341,043-00015-0788,Двутавр 36М ГОСТ 19425 09Г2С-15 н/д Импорт
Ц0000028656,043-00009-0546,"Двутавр 35Б1 СТО АСЧМ 20-93 09Г2С-12 дл.12,0"
Ц0000028657,043-00035-0546,"Двутавр 35К1 СТО АСЧМ 20-93 09Г2С-12 дл.12,0"
Ц0000028821,043-00009-0553,Двутавр 35Б1 СТО АСЧМ 20-93 09Г2С-12 н/д
Ц0000028822,043-00012-0546,"Двутавр 24М ГОСТ 19425 09Г2С-12 дл.12,0"
Ц000029277 ,043-00055-0546,"Двутавр 55Б2 СТО АСЧМ 20-93 09Г2С-12 дл.12,0"
Ц000029280 ,043-00020-0546,"Двутавр 60Ш1 СТО АСЧМ 20-93 09Г2С-12 дл.12,0"
АФ000000773,043-00011-0546,"Двутавр 25К2 СТО АСЧМ 20-93 09Г2С-12 дл.12,0"
АФ000000907,043-00026-0546,"Двутавр 45Ш1 СТО АСЧМ 20-93 09Г2С-12 дл.12,0"
АЦ000000266,043-00058-0550,"Двутавр 30Б1 СТО АСЧМ 20-93 09Г2С-15 дл.12,0"
05378      ,043-00007-0546,"Двутавр 20Б1 СТО АСЧМ 20-93 09Г2С-12 дл.12,0"
05382      ,043-00021-0546,"Двутавр 20К1 СТО АСЧМ 20-93 09Г2С-12 дл.12,0"
05385      ,043-00042-0546,"Двутавр 20К2 СТО АСЧМ 20-93 09Г2С-12 дл.12,0"
05393      ,043-00022-0546,"Двутавр 25Б1 СТО АСЧМ 20-93 09Г2С-12 дл.12,0"
05397      ,043-00025-0546,"Двутавр 25Б2 СТО АСЧМ 20-93 09Г2С-12 дл.12,0"
05405      ,043-00014-0546,"Двутавр 25Ш1 СТО АСЧМ 20-93 09Г2С-12 дл.12,0"
05411      ,043-00058-0546,"Двутавр 30Б1 СТО АСЧМ 20-93 09Г2С-12 дл.12,0"
05415      ,043-00045-0546,"Двутавр 30Б2 СТО АСЧМ 20-93 09Г2С-12 дл.12,0"
05422      ,043-00040-0546,"Двутавр 30К2 СТО АСЧМ 20-93 09Г2С-12 дл.12,0"
05424      ,043-00067-0546,"Двутавр 30К3 СТО АСЧМ 20-93 09Г2С-12 дл.12,0"
05427      ,043-00029-0546,"Двутавр 30Ш1 СТО АСЧМ 20-93 09Г2С-12 дл.12,0"
05431      ,043-00030-0546,"Двутавр 30Ш2 СТО АСЧМ 20-93 09Г2С-12 дл.12,0"
05441      ,043-00024-0546,"Двутавр 35К2 СТО АСЧМ 20-93 09Г2С-12 дл.12,0"
05443      ,043-00017-0546,"Двутавр 35Ш1 СТО АСЧМ 20-93 09Г2С-12 дл.12,0"
05453      ,043-00027-0546,"Двутавр 40К1 СТО АСЧМ 20-93 09Г2С-12 дл.12,0"
05458      ,043-00028-0546,"Двутавр 40К2 СТО АСЧМ 20-93 09Г2С-12 дл.12,0"
05465      ,043-00043-0546,"Двутавр 45Б1 СТО АСЧМ 20-93 09Г2С-12 дл.12,0"
05469      ,043-00037-0546,"Двутавр 45Б2 СТО АСЧМ 20-93 09Г2С-12 дл.12,0"
05475      ,043-00023-0546,"Двутавр 50Ш1 СТО АСЧМ 20-93 09Г2С-12 дл.12,0"
Ц0000000081,043-00033-0546,"Двутавр 20Ш1 СТО АСЧМ 20-93 09Г2С-12 дл.12,0"
ЦМ000000471,043-00055-0545,"Двутавр 55Б2 СТО АСЧМ 20-93 09Г2С-12 дл.6,0"
ЦМ000000473,043-00052-0546,"Двутавр 70Ш1 СТО АСЧМ 20-93 09Г2С-12 дл.12,0"
ЦМ000000474,043-00053-0546,"Двутавр 70Ш2 СТО АСЧМ 20-93 09Г2С-12 дл.12,0"
Ц0000025780,043-00018-0546,"Двутавр 35Ш2 СТО АСЧМ 20-93 09Г2С-12 дл.12,0"
Ц0000025782,043-00012-0570,"Двутавр 24М ГОСТ 19425 09Г2С-12 дл.11,7"
Ц0000025784,043-00015-0570,"Двутавр 36М ГОСТ 19425 09Г2С-12 дл.11,7"
Ц000028261 ,043-00022-0555,"Двутавр 25Б1 СТО АСЧМ 20-93 09Г2С-12 дл.12,0 Импорт"
Ц000028264 ,043-00058-0555,"Двутавр 30Б1 СТО АСЧМ 20-93 09Г2С-12 дл.12,0 Импорт"
Ц000028265 ,043-00045-0555,"Двутавр 30Б2 СТО АСЧМ 20-93 09Г2С-12 дл.12,0 Импорт"
Ц000028267 ,043-00009-0555,"Двутавр 35Б1 СТО АСЧМ 20-93 09Г2С-12 дл.12,0 Импорт"
Ц000028268 ,043-00013-0555,"Двутавр 35Б2 СТО АСЧМ 20-93 09Г2С-12 дл.12,0 Импорт"
